"metabolite","super_pathway","sub_pathway","fluid","platform_name","platform_unit","retention_index","CAS","PubChem","ChEBI"
"1-behenoyl-GPC (22:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1785","125146-65-8","24779479","CHEBI:183975"
"1-dihomo-linolenoyl-GPC (20:3n3 or 6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1520",NA,"","CHEBI:64488"
"1-dihomo-linolenoyl-GPE (20:3n3 or 6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","6032",NA,"","CHEBI:143227"
"1-dihomo-linoleoyl-GPC (20:2)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1577",NA,"","CHEBI:136083"
"1-docosahexaenoyl-GPC (22:6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1455",NA,"","CHEBI:131986"
"1-docosahexaenoyl-GPE (22:6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1450",NA,"","CHEBI:143228"
"1-docosapentaenoyl-GPC (22:5n3)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1462",NA,"","CHEBI:131985"
"1-docosapentaenoyl-GPC (22:5n6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1484",NA,"","CHEBI:131985"
"1-eicosapentaenoyl-GPC (20:5)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1395",NA,"","CHEBI:91311"
"1-eicosapentaenoyl-GPE (20:5)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5665",NA,"","CHEBI:145286"
"1-eicosenoyl-GPC (20:1)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1630",NA,"","CHEBI:131982"
"1-linolenoyl-GPC (18:3)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1422",NA,"24779469","CHEBI:133456"
"1-linoleoyl-GPC (18:2)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1465",NA,"11005824","CHEBI:28733"
"1-linoleoyl-GPE (18:2)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1482",NA,"","CHEBI:131744"
"1-linoleoyl-GPI (18:2)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5494",NA,"","CHEBI:166932"
"1-linoleoylglycerol (18:2)","Lipids","Monoacylglycerol","plasma","Metabolon HD4 [nt-ms]","normalized counts","6477","2277-28-3","6436630, 5283469","CHEBI:75561, CHEBI:75568"
"1-margaroyl-GPC (17:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1566","50930-23-9","24779463","CHEBI:74340"
"1-meadoyl-GPC (20:3n9)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","6100",NA,"","CHEBI:64488"
"1-methylguanidine","Amino Acids","Guanidino and Acetamido Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2149","22661-87-6","10111","CHEBI:16628"
"1-methylhistidine","Amino Acids","Histidine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2755","332-80-9","","CHEBI:70958"
"1-methylimidazoleacetate","Amino Acids","Histidine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2064","2625-49-2","75810","CHEBI:1606"
"1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1940","1005-24-9","457","CHEBI:16797"
"1-methylurate","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1461","708-79-2","69726","CHEBI:68441"
"1-methylxanthine","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1568.8","6136-37-4","","CHEBI:68443"
"1-myristoyl-GPC (14:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1428","20559-16-4","460604","CHEBI:64489"
"1-nonadecanoyl-GPC (19:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1756","108273-88-7","","CHEBI:131989"
"1-oleoyl-GPC (18:1)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1540","19420-56-5","16081932","CHEBI:28610"
"1-oleoyl-GPE (18:1)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1554","89576-29-4","9547071","CHEBI:60287, CHEBI:75168"
"1-oleoyl-GPG (18:1)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5610",NA,"","CHEBI:136219"
"1-oleoyl-GPI (18:1)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5599",NA,"42607496","CHEBI:82753"
"1-palmitoleoyl-GPC (16:1)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1450",NA,"24779461","CHEBI:73851"
"1-palmitoyl-GPC (16:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1525","17364-16-8","460602","CHEBI:72998"
"1-palmitoyl-GPE (16:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1544",NA,"9547069","CHEBI:73134"
"1-palmitoyl-GPG (16:0)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5570",NA,"","CHEBI:85407"
"1-palmitoyl-GPI (16:0)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5564",NA,"","CHEBI:197041"
"1-palmitoylglycerol (16:0)","Lipids","Monoacylglycerol","plasma","Metabolon HD4 [nt-ms]","normalized counts","6400","542-44-9","14900","CHEBI:69081"
"1-palmityl-GPC (O-16:0)","Lipids","Lyso-phospho-ether","plasma","Metabolon HD4 [nt-ms]","normalized counts","1573","52691-62-0","","CHEBI:34114"
"1-pentadecanoyl-GPC (15:0)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1474",NA,"24779458","CHEBI:131924"
"1-stearoyl-GPC (18:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1606","19420-57-6","497299","CHEBI:73858"
"1-stearoyl-GPE (18:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1626","69747-55-3","9547068","CHEBI:83047"
"1-stearoyl-GPI (18:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5794.3","796963-93-4","42607495","CHEBI:83054"
"1-stearyl-GPC (O-18:0)*","Lipids","Lyso-phospho-ether","plasma","Metabolon HD4 [nt-ms]","normalized counts","1653",NA,"2733532","CHEBI:75216"
"1,3-dimethylurate","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1671.4","944-73-0","70346","CHEBI:68447"
"1,3,7-trimethylurate","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1985","5415-44-1","79437","CHEBI:691622"
"1,5-anhydroglucitol (1,5-AG)","Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","802","154-58-5","64960","CHEBI:16070"
"1,6-anhydroglucose","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","919.7","498-07-7","2724705","CHEBI:30997"
"1,7-dimethylurate","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1578.6","33868-03-0","91611","CHEBI:68449"
"10-undecenoate (11:1n1)","Lipids","Medium Chain Fatty Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5085.8","1333-28-4","5634","CHEBI:35045"
"11-ketoetiocholanolone glucuronide","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4280","17181-16-7","53478031","CHEBI:88771"
"12-HETE","Lipids","Eicosanoid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5326","71030-37-0;73837-14-6","","CHEBI:19138"
"13-HODE + 9-HODE","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","5275",NA,"5282944","CHEBI:72639, CHEBI:72651"
"15-methylpalmitate","Lipids","Fatty Acid, Branched","plasma","Metabolon HD4 [nt-ms]","normalized counts","5695",NA,"164860","CHEBI:70850"
"16-hydroxypalmitate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","5236.2","506-13-8","10466","CHEBI:55328"
"16a-hydroxy DHEA 3-sulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4240",NA,"20848951","CHEBI:87774"
"17-methylstearate","Lipids","Fatty Acid, Branched","plasma","Metabolon HD4 [nt-ms]","normalized counts","5993","2724-59-6","3083779","CHEBI:133136"
"17alpha-hydroxypregnanolone glucuronide","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5071.8999999999996",NA,"","CHEBI:34353"
"17alpha-hydroxypregnenolone sulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4800","28901-70-4","","CHEBI:89454"
"2-aminoadipate","Amino Acids","Lysine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","3500","542-32-5;1118-90-7","469","CHEBI:37024"
"2-aminobutyrate","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2059","1492-24-6","6657","CHEBI:35621"
"2-aminoheptanoate","Lipids","Fatty Acid, Amino","plasma","Metabolon HD4 [nt-ms]","normalized counts","3160","1115-90-8","227939","CHEBI:64304"
"2-aminooctanoate","Lipids","Fatty Acid, Amino","plasma","Metabolon HD4 [nt-ms]","normalized counts","3385","644-90-6","69522","CHEBI:75145"
"2-aminophenol sulfate","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","1677",NA,"181670","CHEBI:133186"
"2-arachidonoyl-GPC (20:4)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5965",NA,"","CHEBI:91303"
"2-arachidonoyl-GPE (20:4)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5793",NA,"53480936","CHEBI:72741"
"2-docosahexaenoyl-GPC (22:6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5760",NA,"","CHEBI:131987"
"2-docosahexaenoyl-GPE (22:6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5707",NA,"53480945","CHEBI:72749"
"2-hydroxy-3-methylvalerate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1800","488-15-3","","CHEBI:133083"
"2-hydroxyacetaminophen sulfate*","Xenobiotics","Drug","plasma","Metabolon HD4 [nt-ms]","normalized counts","1674",NA,"","CHEBI:82942"
"2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1258",NA,"11671","CHEBI:50129, CHEBI:1148"
"2-hydroxydecanoate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","4840","5393-81-7","21488","CHEBI:133172"
"2-hydroxyglutarate","Lipids","Fatty Acid, Dicarboxylate","plasma","Metabolon HD4 [nt-ms]","normalized counts","958","40951-21-1","43","CHEBI:17084"
"2-hydroxyoctanoate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","3736.8","617-73-2","94180","CHEBI:86543"
"2-hydroxypalmitate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","5511.2","764-67-0","","CHEBI:65101"
"2-hydroxyphenylacetate","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","858.6","614-75-5","11970","CHEBI:28478"
"2-hydroxystearate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","5695","629-22-1","69417","CHEBI:19660"
"2-linoleoyl-GPC (18:2)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","6013.2",NA,"","CHEBI:91302"
"2-linoleoyl-GPE (18:2)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5813",NA,"","CHEBI:131745"
"2-linoleoylglycerol (18:2)","Lipids","Monoacylglycerol","plasma","Metabolon HD4 [nt-ms]","normalized counts","6250","3443-82-1","5365676","CHEBI:75457"
"2-methylbutyrylcarnitine (C5)","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","3035","31023-25-3","6426901","CHEBI:73026"
"2-methylmalonyl carnitine","Lipids","Fatty Acid Synthesis","plasma","Metabolon HD4 [nt-ms]","normalized counts","2440","149181-64-6","71464478","CHEBI:73031"
"2-myristoyl-GPC (14:0)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1399",NA,"","CHEBI:131738"
"2-oleoyl-GPC (18:1)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","6150",NA,"","CHEBI:131740"
"2-oleoyl-GPE (18:1)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","6000",NA,"","CHEBI:145252"
"2-palmitoyl-GPC (16:0)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","6215",NA,"15061532","CHEBI:76078"
"2-palmitoyl-GPE (16:0)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5919",NA,"53480922","CHEBI:131743"
"2-piperidinone","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","1675","675-20-7","12665","CHEBI:77761"
"2-pyrrolidinone","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","1262","616-45-5","12025","CHEBI:36592"
"2-stearoyl-GPE (18:0)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","6350",NA,"53480667","CHEBI:133145"
"2,3-dihydroxyisovalerate","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","1050","1756-18-9","","CHEBI:15689"
"2'-deoxyuridine","Nucleotides","Pyrimidine Metabolism, Uracil containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1586","951-78-0","13712","CHEBI:16450"
"21-hydroxypregnenolone disulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","3935","1164-98-3","134595","CHEBI:133695"
"21-hydroxypregnenolone monosulfate (1)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4624","88378-34-1","","CHEBI:178079"
"3-(3-hydroxyphenyl)propionate","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1980","621-54-5","91","CHEBI:1427"
"3-(4-hydroxyphenyl)lactate","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1379","6482-98-0","9378","CHEBI:17385"
"3-aminoisobutyrate","Nucleotides","Pyrimidine Metabolism, Thymine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","2215","10569-72-9;214139-20-5","64956","CHEBI:27389"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","Lipids","Fatty Acid, Dicarboxylate","plasma","Metabolon HD4 [nt-ms]","normalized counts","2840","86879-39-2","123979","CHEBI:41254"
"3-hydroxy-2-ethylpropionate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","975","4374-62-3","188979","CHEBI:82956"
"3-hydroxy-3-methylglutarate","Lipids","Mevalonate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2700","503-49-1","1662","CHEBI:16831"
"3-hydroxybutyrate (BHBA)","Lipids","Ketone Bodies","plasma","Metabolon HD4 [nt-ms]","normalized counts","1443.3","625-72-9","","CHEBI:20067"
"3-hydroxybutyrylcarnitine (1)","Lipids","Fatty Acid Metabolism (Acyl Carnitine)","plasma","Metabolon HD4 [nt-ms]","normalized counts","2400",NA,"90659885","CHEBI:84842"
"3-hydroxybutyrylcarnitine (2)","Lipids","Fatty Acid Metabolism (Acyl Carnitine)","plasma","Metabolon HD4 [nt-ms]","normalized counts","2340",NA,"90659885","CHEBI:72995"
"3-hydroxycotinine glucuronide","Xenobiotics","Tobacco Metabolite","plasma","Metabolon HD4 [nt-ms]","normalized counts","1745","132929-88-5","","CHEBI:133206"
"3-hydroxydecanoate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","4634.7","5561-87-5","","CHEBI:132983"
"3-hydroxyhippurate","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1687","1637-75-8","450268","CHEBI:70824"
"3-hydroxyisobutyrate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1619.1","2068-83-9","","CHEBI:18064"
"3-hydroxylaurate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","5175","53941-38-1","","CHEBI:36206"
"3-hydroxymyristate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","5335","3422-31-9","","CHEBI:85148"
"3-hydroxyoctanoate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","3446","88930-08-9","","CHEBI:37098"
"3-hydroxypropanoate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","1845","503-66-2","68152","CHEBI:33404"
"3-hydroxypyridine sulfate","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","1595.5","1955-23-3","22642043","CHEBI:133559"
"3-hydroxysebacate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","1282.0999999999999","73141-46-5","","CHEBI:89182"
"3-indoxyl sulfate","Amino Acids","Tryptophan Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2222.1999999999998","2642-37-7","10258","CHEBI:43355"
"3-methoxycatechol sulfate (1)","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2163",NA,"","CHEBI:133590"
"3-methoxytyrosine","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2555","300-48-1","","CHEBI:172453"
"3-methyl catechol sulfate (1)","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2790",NA,"118431379, 156960912","CHEBI:18404"
"3-methyl-2-oxobutyrate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1465","3715-29-5","49","CHEBI:16530"
"3-methyl-2-oxovalerate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2064.1999999999998","1460-34-0;51829-07-3","","CHEBI:35932"
"3-methylcytidine","Nucleotides","Pyrimidine Metabolism, Cytidine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","2176","21028-20-6","","CHEBI:20129"
"3-methylglutarylcarnitine (2)","Amino Acids","Lysine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2675",NA,"","CHEBI:70857"
"3-methylhistidine","Amino Acids","Histidine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","906.3","368-16-1","","CHEBI:70959"
"3-methylxanthine","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1415","1076-22-8","","CHEBI:62205"
"3-phenylpropionate (hydrocinnamate)","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2860","501-52-0","107","CHEBI:28631"
"3-phosphoglycerate","Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","590","80731-10-8","724","CHEBI:17050"
"3-ureidopropionate","Nucleotides","Pyrimidine Metabolism, Uracil containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","875","462-88-4","","CHEBI:18261"
"3,4-methyleneheptanoate","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","3807",NA,"","CHEBI:180306"
"3,4-methyleneheptanoylcarnitine","Lipids","Fatty Acid Metabolism (Acyl Carnitine)","plasma","Metabolon HD4 [nt-ms]","normalized counts","4096",NA,"129691996",""
"3,7-dimethylurate","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1418.2","13087-49-5","83126","CHEBI:68531"
"3b-hydroxy-5-cholenoic acid","Lipids","Secondary Bile Acid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","5205","5255-17-4","92997","CHEBI:89234"
"3beta,7alpha-dihydroxy-5-cholestenoate","Lipids","Secondary Bile Acid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","5275","115538-84-6","3081084","CHEBI:81015"
"4-acetamidobutanoate","Amino Acids","Polyamine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1350","3025-96-5","18189","CHEBI:17645"
"4-acetamidophenol","Xenobiotics","Drug","plasma","Metabolon HD4 [nt-ms]","normalized counts","2173.6999999999998","103-90-2","1983","CHEBI:46195"
"4-acetamidophenylglucuronide","Xenobiotics","Drug","plasma","Metabolon HD4 [nt-ms]","normalized counts","1400","120595-80-4","83944","CHEBI:32636"
"4-acetaminophen sulfate","Xenobiotics","Drug","plasma","Metabolon HD4 [nt-ms]","normalized counts","1792","10066-90-7;32113-41-0","83939","CHEBI:32635"
"4-acetylphenol sulfate","Xenobiotics","Drug","plasma","Metabolon HD4 [nt-ms]","normalized counts","2375",NA,"","CHEBI:133226"
"4-allylphenol sulfate","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","3805",NA,"66633409","CHEBI:133096"
"4-androsten-3alpha,17alpha-diol monosulfate (2)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4712",NA,"","CHEBI:133715"
"4-androsten-3alpha,17alpha-diol monosulfate (3)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5180",NA,"","CHEBI:133715"
"4-androsten-3beta,17beta-diol disulfate (1)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","3740",NA,"87120982","CHEBI:133124"
"4-androsten-3beta,17beta-diol disulfate (2)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4065",NA,"87120982","CHEBI:133124"
"4-androsten-3beta,17beta-diol monosulfate (1)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4500","521-17-5","","CHEBI:178055"
"4-androsten-3beta,17beta-diol monosulfate (2)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4500",NA,"","CHEBI:178055"
"4-ethylphenylsulfate","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","3580","123-07-9","","CHEBI:82932"
"4-guanidinobutanoate","Amino Acids","Guanidino and Acetamido Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2320","463-003;463-00-3","500","CHEBI:86564, CHEBI:15728"
"4-hydroxychlorothalonil","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","4427","28343-61-5","34217","CHEBI:133542"
"4-hydroxyhippurate","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1475","2482-25-9","151012","CHEBI:71018"
"4-hydroxyphenylacetate","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1361.1","156-38-7","127","CHEBI:18101"
"4-hydroxyphenylacetatoylcarnitine","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2730",NA,"169736345",""
"4-hydroxyphenylpyruvate","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1690.1","156-39-8","979","CHEBI:15999"
"4-imidazoleacetate","Amino Acids","Histidine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2055","645-65-8","96215","CHEBI:16974"
"4-methyl-2-oxopentanoate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2170","816-66-0","70","CHEBI:48430"
"4-methylcatechol sulfate","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2665",NA,"","CHEBI:133703"
"4-vinylphenol sulfate","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","3320","2628-17-3","6426766","CHEBI:82931"
"5-acetylamino-6-amino-3-methyluracil","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1710","19893-78-8","88299","CHEBI:80473"
